job_id,job_title,company,location,skills,experience,education,job_description,salary
JOB1011,Data Scientist,IBM,"New York, NY","Machine Learning, Statistics, NumPy, Scikit-Learn, Python, Data Visualization",1-2 years,Bachelor's in Statistics,"Analyze complex datasets to extract actionable insights, build predictive ML models, and communicate statistical findings to cross-functional teams. Seeking candidate skilled in Machine Learning and Statistics. Ideal for candidates aiming to work with modern engineering standards.","$110,000 - $150,000 / yr"
JOB1012,Data Analyst,Google,"New York, NY","Jupyter, Scikit-Learn, NumPy, Data Visualization, Pandas, Machine Learning, Python, Statistics, SQL, Matplotlib",0-1 years (Fresher),Bachelor's in Computer Science,"Analyze complex datasets to extract actionable insights, build predictive ML models, and communicate statistical findings to cross-functional teams. Seeking candidate skilled in Jupyter and Scikit-Learn. Ideal for candidates aiming to work with modern engineering standards.","$75,000 - $105,000 / yr"
JOB1013,Machine Learning Engineer,Microsoft,"New York, NY","SQL, Pandas, Excel, Matplotlib, Tableau, Reporting, Data Analysis",1-2 years,Bachelor's in Information Technology,"Transform raw data into meaningful business intelligence dashboards, perform exploratory data analysis, and support decision-making processes. Seeking candidate skilled in SQL and Pandas. Ideal for candidates aiming to work with modern engineering standards.","$125,000 - $175,000 / yr"
JOB1014,AI Engineer,Amazon,"New York, NY","Python, Power BI, Data Analysis, Excel, Reporting, Statistics, Matplotlib, Tableau, Pandas, SQL",3-5 years,Bachelor's in Information Technology,"Transform raw data into meaningful business intelligence dashboards, perform exploratory data analysis, and support decision-making processes. Seeking candidate skilled in Python and Power BI. Ideal for candidates aiming to work with modern engineering standards.","$130,000 - $180,000 / yr"
JOB1015,Python Developer,Bloomberg,"New York, NY","Excel, Tableau, SQL, Power BI, Data Analysis, Matplotlib, Reporting",0-1 years (Fresher),Bachelor's in Computer Science,"Transform raw data into meaningful business intelligence dashboards, perform exploratory data analysis, and support decision-making processes. Seeking candidate skilled in Excel and Tableau. Ideal for candidates aiming to work with modern engineering standards.","$90,000 - $125,000 / yr"
JOB1016,Software Developer,JPMorgan Chase,"New York, NY","SQL, Tableau, Excel, Power BI, Statistics, Python",3-5 years,Bachelor's in Information Technology,"Transform raw data into meaningful business intelligence dashboards, perform exploratory data analysis, and support decision-making processes. Seeking candidate skilled in SQL and Tableau. Ideal for candidates aiming to work with modern engineering standards.","$95,000 - $135,000 / yr"
JOB1017,Backend Developer,Goldman Sachs,"New York, NY","Matplotlib, Statistics, Pandas, Data Analysis, Reporting, Tableau, Excel",0-1 years (Fresher),Bachelor's in Computer Science,"Transform raw data into meaningful business intelligence dashboards, perform exploratory data analysis, and support decision-making processes. Seeking candidate skilled in Matplotlib and Statistics. Ideal for candidates aiming to work with modern engineering standards.","$100,000 - $140,000 / yr"
JOB1018,Frontend Developer,Datadog,"New York, NY","Data Analysis, Statistics, SQL, Tableau, Matplotlib, Reporting, Power BI, Excel, Python",1-2 years,Bachelor's in Computer Science,"Transform raw data into meaningful business intelligence dashboards, perform exploratory data analysis, and support decision-making processes. Seeking candidate skilled in Data Analysis and Statistics. Ideal for candidates aiming to work with modern engineering standards.","$85,000 - $120,000 / yr"
JOB1019,Full Stack Developer,Spotify,"New York, NY","Statistics, Python, Data Analysis, Excel, Reporting, Pandas, Matplotlib, SQL, Power BI, Tableau",Fresher / Entry Level,Bachelor's in Computer Science,"Transform raw data into meaningful business intelligence dashboards, perform exploratory data analysis, and support decision-making processes. Seeking candidate skilled in Statistics and Python. Ideal for candidates aiming to work with modern engineering standards.","$105,000 - $145,000 / yr"
JOB1020,Business Analyst,Morgan Stanley,"New York, NY","Python, Data Analysis, Statistics, Pandas, Excel, Reporting, SQL",3-5 years,Bachelor's in Computer Science,"Transform raw data into meaningful business intelligence dashboards, perform exploratory data analysis, and support decision-making processes. Seeking candidate skilled in Python and Data Analysis. Ideal for candidates aiming to work with modern engineering standards.","$80,000 - $110,000 / yr"
